Instance,Col09,Byk13,Ham13,Bat17,FastSA
1,-4799.0,-4008.0,-5469.0,-3927.0,-5231.6
2,-425.0,-404.0,-450.0,-407.7,-405.1
3,-9251.0,-8012.0,-10444.0,-8849.5,-9940.1
4,-15821.0,-13312.0,-20241.0,-15617.8,-12992.5
5,-3072.0,-2582.0,-3185.0,-2849.0,-3490.4
6,-25935.0,-25448.0,-26150.0,-26081.4,-26008.5
7,-4187.0,-3893.0,-4568.0,-3661.6,-4534.7
8,-7599.0,-6944.0,-8081.0,-7729.5,-7602.6
9,-1071.0,-949.0,-1061.0,-991.6,-1017.6
10,-14552.0,-12985.0,-15294.0,-13999.6,-13631.7
11,-29358.0,-25194.0,-44820.0,-27781.5,-31792.2
12,-5699.0,-5181.0,-5464.0,-5550.2,-5204.8
